,trend,total_volume,social_buzz
640,machine knit,3160.0,1
641,charcoal nails,1590.0,0
642,ankle tie sandals,16200.0,3
643,mens crew neck t shirt,2660.0,0
644,rubber flats,4210.0,0
645,rose gold tone bracelet,1520.0,0
646,high waisted boy shorts,3260.0,0
647,mmfw,2860.0,0
648,crew fleece,3060.0,10
649,midi wrap skirt,4040.0,2
650,international film festivals,4980.0,18
651,zipup hoodie,2450.0,0
652,distressed booties,2060.0,6
653,apron skirt,4910.0,0
654,athletic flats,6900.0,0
655,gold tone ring,3190.0,0
656,jersey midi skirt,6440.0,2
657,mens levis pants,2800.0,0
658,pull on leggings,3830.0,1
659,waxed pants,2760.0,0
660,mens silk jacket,3330.0,0
661,convertible satchel,3860.0,8
662,shirred top,6980.0,4
663,mens cashmere blazer,1930.0,0
664,animal print jeans,5460.0,0
665,wide leg shorts,11620.0,2
666,dot tie,4150.0,25
667,mens chukka sneakers,2630.0,0
668,long boyfriend cardigan,3740.0,0
669,rubber sneakers,4310.0,0
670,high low maxi skirt,7280.0,0
671,smocked top,8410.0,2
672,leather bowler bag,2160.0,0
673,printed coat,2930.0,9
674,save up to,3480.0,326
675,chevron jacket,2160.0,2
676,betawards,31550.0,1
677,tofu chips,6090.0,0
678,mirrored lenses,4440.0,31
679,twin cake,4560.0,0
680,petite underwear,2660.0,0
681,white bangles,4240.0,4
682,mens buckle belt,5110.0,0
683,studded satchel,3660.0,1
684,single button blazer,4030.0,4
685,lip pack,2470.0,5
686,fit pants,4960.0,24
687,mens paisley socks,1680.0,0
688,makeup value set,1800.0,0
689,two button blazer,3000.0,3
690,perfume rollerballs,1890.0,0
691,square toe flats,4480.0,0
692,embellished booties,1530.0,0
693,backpack charm,2830.0,0
694,perforated boots,7230.0,0
695,phillip lim sneakers,3130.0,0
696,emerald lace dress,4510.0,0
697,sleeveless gown,4240.0,11
698,silver tone necklace,4160.0,0
699,mens link bracelets,1750.0,0
700,aqua lace dress,6220.0,1
701,instacute,1890.0,38
702,studded leather boots,3560.0,0
703,cheetah bikini,7300.0,3
704,mixed media top,2230.0,3
705,cut out sandals,11180.0,5
706,stripe suit,5270.0,10
707,hydrating lipstick,2930.0,5
708,mens camera bag,2300.0,0
709,mens cap toe dress shoes,2650.0,0
710,cheetah top,5010.0,2
711,levis mens shorts,8120.0,0
712,sporty jacket,2360.0,0
713,iridescent pumps,4530.0,0
714,flare mini dress,3270.0,0
715,saffiano handbag,3470.0,0
716,alligator watch,3240.0,0
717,cheetah blouse,2940.0,0
718,mtvema,62970.0,3
719,woven flats,7870.0,5
720,charcoal gray dress,5040.0,0
721,mens ipad case,1610.0,0
722,vert skateboarding,5470.0,3
723,satin flats,6990.0,2
724,wax pants,2960.0,0
725,perforated handbag,6680.0,1
726,leather double-wrap bracelet,1640.0,0
727,young hollywood awards,7950.0,0
728,coach bag charms,2270.0,0
729,zipper coat,2840.0,0
730,knit nail,1430.0,0
731,regal blue,5610.0,2
732,square toe pumps,6590.0,0
733,velvet sandals,2670.0,4
734,mens bit loafers,3450.0,0
735,blossom dress,9640.0,6
736,cooking makeup,4220.0,0
737,digital print dress,9690.0,0
738,embroidered gown,4920.0,53
739,crocodile tote,2980.0,2
740,hot pink lace dress,7230.0,0
741,classic fit pants,3570.0,3
742,tech messenger bag,3470.0,0
743,chambray jumpsuit,17370.0,19
744,cotton trunks,2780.0,7
745,calf hair booties,2250.0,0
746,mini duffel bag,3960.0,0
747,plus size beaded dress,5330.0,0
748,mens white gold necklaces,2450.0,0
749,check dress shirt,3510.0,4
750,crochet tank,17360.0,16
751,mixed media coat,2050.0,1
752,suede platform pumps,3160.0,0
753,sport capri,8850.0,0
754,navy boyfriend cardigan,5270.0,0
755,embellished pumps,3500.0,5
756,mini ring,5630.0,3
757,woven sneakers,4910.0,2
758,hiphugger panties,3570.0,0
759,crocodile clutch,5140.0,2
760,open back gown,5970.0,6
761,relaxed pants,6150.0,4
762,momtobe,3450.0,268
763,short sleeve gown,3360.0,3
764,printed sneakers,5380.0,21
765,performance long sleeve,3920.0,1
766,mens wool sport coat,1800.0,0
767,chloe suzanna,3070.0,0
768,jeweled pumps,3610.0,4
769,logo leggings,2810.0,0
770,high rise jean,3870.0,12
771,patent booties,2310.0,0
772,chiffon romper,8150.0,1
773,quilted flats,6030.0,0
774,silver tone earrings,3100.0,0
775,shattered glass nail,2360.0,2
776,rose gold tone earrings,2750.0,0
777,31 hour bag,4350.0,1
778,bedhead hair,4520.0,4
779,jersey gown,6810.0,17
780,strappy jumpsuit,6570.0,9
781,eyelet skirt,13130.0,13
782,bohemian print,6050.0,5
783,phillip lim coat,2360.0,0
784,leather bag charm,3490.0,0
785,leopard shoulder bag,3280.0,1
786,metallic gown,4380.0,12
787,mod skirt,3040.0,0
788,classic pants,4370.0,5
789,ruffian manicure,3720.0,1
790,mens relaxed fit pants,3140.0,0
791,clear watches,4060.0,0
792,wool jumpsuit,3070.0,2
793,mesh pumps,6520.0,3
794,scarf print,5820.0,33
795,satin sandals,5530.0,7
796,colorblock jacket,3540.0,4
797,bare nails,5250.0,0
798,colorblock coat,2420.0,0
799,lip treatments,4530.0,57
800,mens crossbody bags,5240.0,0
801,v neck gown,5860.0,55
802,envelope crossbody bag,4100.0,1
803,super slim jeans,3930.0,0
804,slim tapered pants,3360.0,0
805,mens rose gold earrings,1870.0,0
806,makeup contour brush,2520.0,0
807,short sleeve romper,13470.0,5
808,logo bag,5310.0,7
809,snakeskin sandals,18190.0,3
810,boyfriend pullover,2330.0,0
811,sleeveless romper,8760.0,15
812,long length leggings,2720.0,0
813,suede bracelet,4980.0,7
814,python sneakers,5120.0,4
815,printed bag,4670.0,8
816,mid rise pants,3530.0,0
817,wedge sneaker shoes,19590.0,0
818,woven boots,2570.0,2
819,waxed cotton coat,2770.0,0
820,prism awards,8480.0,0
821,round watch,4700.0,10
822,reversible watch,4030.0,1
823,acrylic hat,3740.0,1
824,convertible tote,6290.0,0
825,faux leather shoulder bag,3990.0,2
826,calf hair pumps,3210.0,1
827,streetphotography,6660.0,52
828,fringe drop earrings,1550.0,4
829,crew neck dress,6570.0,4
830,semi rimless,5230.0,3
831,mini leather crossbody bag,3640.0,1
832,open front jacket,5940.0,4
833,colorblock bikini,16420.0,9
834,orchid dress,8800.0,6
835,denim trouser,5730.0,10
836,glitten,3980.0,2040
837,gem stud earrings,4200.0,0
838,leave in shampoo,6160.0,0
839,mommytobe,7220.0,219
840,metal band watch,4150.0,0
841,oiliness,6270.0,15
842,hacing,5870.0,91
843,neon trainers,9110.0,0
844,twill coat,3770.0,6
845,halter romper,16880.0,4
846,mens clubmaster sunglasses,8480.0,0
