"code","name","search","link","ssname","ssid","rid","rname"
"adidaswomen","adidas Women","adidas women","http://www.adidas.com/us/women",,,,
"adinajbluecollarredlipstick","Adina J (Blue Collar Red Lipstick)","blue collar red lipstick","http://bluecollarredlipstick.com/",,,,
"adinareyter","Adina Reyter","adina reyter","http://www.adinadesign.com","Adina Reyter","2340",,
"adio","Adio","adio","http://www.adiofootwear.com",,,,
"adolfo","Adolfo","adolfo","http://adolfo.com/",,,,
"adolfodominguez","Adolfo Dominguez","adolfo dominguez","http://www.adolfodominguez.com/en-us/","Adolfo Dominguez","28715",,
"adoreme","AdoreMe","adore me","http://www.adoreme.com/l1/",,,,
"adoro","Adoro","adoro","http://adoro.com/",,,,
"adozenroses","A dozen Roses","a dozen roses","http://www.adozenroses.com/","A Dozen Roses","28910",,
"adri","Adri","adri","http://cfda.com/members#!adri",,,,
"adrianacastro","Adriana Castro","adriana castro","http://adrianacastroonline.com",,,,
"adrianadegreas","ADRIANA DEGREAS","adriana degreas","http://www.adrianadegreas.com.br/pt/",,,,
"adriannalima","Adriana Lima","adrianna lima","http://www.adrianalima.com/",,,,
"adriannapapell","Adrianna Papell","adrianna papell","http://www.adriannapapell.com","Adrianna Papell","15",,
"adriannehosweatthestyle","Adrianne Ho (Sweat The Style)","adrianne ho","http://www.sweatthestyle.com/adrianneho/",,,,
"adrianobatistafckingyoung","Adriano Batista(F*cking Young)","fucking young","http://fuckingyoung.es/",,,,
"adriennebailon","Adrienne Bailon","adrienne bailon","http://thereal.com/therealme",,,,
"adriennelandau","Adrienne Landau","adrienne landau","http://www.adriennelandau.com","Adrienne Landau","671",,
"adriennevittadini","Adrienne Vittadini","adrienne vittadini","http://www.adriennevittadini.com","Adrienne Vittadini","672",,
"adsr","A.D.S.R","a.d.s.r","http://www.adsrsounds.com/",,,,
"advanceautoparts","Advance Auto Parts","advance auto parts","http://shop.advanceautoparts.com",,,,
"advantagelineglobal","Advantage Line Global","advantage line global","http://www.advantagelineglobal.com/",,,,
"adyn","Adyn","adyn","http://adyn.co.uk/",,,,
"aebridesmaids","Anna Elyse","anna elyse","http://www.annaelyse.com",,,,
"aedesdevenustas","Aedes de Venustas","aedes de venustas","http://www.aedes.com/","Aedes de Venustas","14102",,
"aeg","AEG","aeg","https://store.alderac.com/","AEG","15881",,
"aeratrucks","Aera Trucks","aera trucks","http://aeratrucks.com/",,,,
"aerinlauder","Aerin","aerin","http://www.aerin.com/","AERIN","30223",,
"aerobed","Aerobed","aerobed","http://www.aerobed.com/","Aerobed","4086",,
"aeropostale","Aeropostale","aeropostale","http://www.aeropostale.com","Aeropostale","2342","40","Aeropostale"
"aerosoles","Aerosoles","aerosoles","http://www.aerosoles.com","Aerosoles","674",,
"aesop","Aesop","aesop","http://www.aesop.com/","Aesop","11744",,
"aetrex","Aetrex Worldwide","aetrex worldwide","http://www.aetrex.com","Aetrex","18506",,
"aevhalondon","AEVHA London","aevha london","http://www.aevhalondon.com/",,,,
"afends","Afends","afends","http://us.afends.com/",,,,
"affinitasparfait","Affinitas & Parfait","affinitas & parfait","http://www.affinitasintimates.com",,,,
"affliction","Affliction","affliction","http://www.afflictionclothing.com","Affliction","675",,
"affordableantiquebathmore","Bath and More","bath and more","http://www.bathandmore.com",,,,
"afhouse","AF House","af house","http://www.afhouse.biz/","AF House","20050",,
"afineline","A Fine Line","a fine line","http://afinelineclothing.com","A Fine Line","31619",,
"aflighting","AF Lighting","af lighting","http://www.aflighting.com/","AF Lighting","14928",,
"afny","AF New York","af new york","http://www.afnewyork.com",,,,
"africanbotanics","african botanics","african botanics","http://www.africanbotanics.com",,,,
"africanpride","African Pride","african pride","http://www.african-pride.com/","African Pride","6302",,
"aftersix","After Six","after six","http://www.aftersix.com/",,,,
"afvandevorst","A.F. Vandevorst","a.f. vandevorst","http://www.afvandevorst.be/","A.F.Vandevorst","12103",,
"agaci","A'GACI","agaci","http://www.agacistore.com/",,,,
"agadirinternational","Agadir International","agadir international","https://www.agadirint.com/",,,,
"againlosangeles","Again Los Angeles","again los angeles","http://www.againapparel.com",,,,
"aganovich","Aganovich","aganovich","http://www.aganovich.com",,,,
"agatharuizdelaprada","Agatha Ruizde La Prada","agatha ruiz de la prada","http://www.agatharuizdelaprada.com","Agatha Ruiz De La Prada","12115",,
"agavedenim","Agave Denim","agave denim","www.agavedenim.com",,,,
"agegroup","Age Group","age group","http://agegroupltd.com/about-us/",,,,
"agendashow","Agenda Show","agenda show","http://www.agendashow.com/",,,,
"agentathletica","Suzanne Nobles (Agent Athletica)","agent athletica","http://www.agentathletica.com/",,,,
"agentprovocateur","AGENT PROVOCATEUR","agent provocateur","http://www.agentprovocateur.com/apworld/","Agent Provocateur","3399","341","Agent Provocateur"
"aghair","AG Hair","ag hair","https://www.aghair.com/",,,,
"agirlastyle","A Girl, A Style","a girl a style","http://agirlastyle.com/",,,,
"agirlsguidetoshoes","A Girl's Guide to Shoes","a girl's guide to shoes","http://agirlsguidetoshoes.blogspot.com/",,,,
"agisam","Agi & Sam","agi and sam","http://agiandsam.com/",,,,
"agjeans","AG Jeans","ag jeans","http://www.agjeans.com","AG Jeans","6","805","AG Jeans"
"aglini","Aglini","aglini","http://aglini.com/","Aglini","17871",,
"aglshoes","Attilio Giusti Leombruni","attilio giusti leombruni","http://www.attiliogiustileombruni.com","Attilio Giusti Leombruni","18002",,
"agnelle","Agnelle","agnelle","http://www.agnelle.com/en/",,,,
"agnesb","Agnes B","agnes b","http://www.agnesb.com",,,,
"agnona","Agnona","agnona","http://www.agnona.it/en/","Agnona","6304",,
"agolde","A Gold E","a gold e","http://www.agolde.com/about/","A Gold E","31620",,
"agrariahome","Agraria Home","agraria home","http://www.agrariahome.com",,,,
"aguabendita","Agua Bendita","agua bendita","http://www.aguabendita.com.co",,,,
"aguaclara","Aguaclara","aguaclara","http://www.aguaclara-swimwear.com",,,,
"aguadecoco","AGUADECOCO","aguadecoco","http://www.aguadecoco.com.br/international/",,,,
"agynessdeyn","Agyness Deyn","agyness deyn","http://agynessdeyn-online.blogspot.com/",,,,
"ahalife","Ahalife","ahalife","http://www.ahalife.com/",,,"1933","AHAlife"
"ahava","Ahava","ahava","http://www.ahava.com/",,,,
"ahavanorthamerica","Ahava North America","ahava north america","http://www.ahavaus.com","Ahava","5734",,
"aheadlongdive","A Headlong Dive","a headlong dive","http://aheadlongdive.com/",,,,
"ahnufootwear","Ahnu","ahnu footwear","http://www.ahnu.com","Ahnu","26063",,
"aiaiai","Aiaiai","aiaiai","https://aiaiai.dk/","Aiaiai","24611",,
"aidadomenech","Aida Domenech","aida domenech","http://www.dulceida.com",,,,
"aidanalexander","Aidan Alexander","aidan alexander","https://www.youtube.com/user/maadraad",,,,
"aidanbyaidanmattox","Aidan by Aidan Mattox","aidan by aidan mattox","http://shop.nordstrom.com/sr?origin=keywordsearch&contextualcategoryid=0&keyword=aidan+by+aidan+mattox",,,,
"aidanmattox","Aidan Mattox","aidan mattox","http://www.aidanmattox.com","Aidan Mattox","24612",,
"aigner","Aigner","aigner","http://www.aignermunich.com/","Aigner","12119",,
"aijek","Aijek","aijek","http://www.aijek.com/","Aijek","30967",,
"aiko","Aiko","aiko","http://www.iamaiko.com","Aiko","18699",,
"aimeesantosswellmayde","Aimee Santos (SwellMayde)","swellmayde","http://www.swellmayde.com/",,,,
"aimeesong","Aimee Song(Song of Style)","song of style","http://www.songofstyle.com/",,,,
"aimeesun","Aimee Sun (孫芸芸)","孫芸芸","http://www.yun-yun-sun.com/",,,,
"ainsley","Ainsley","ainsley","http://www.ainsleyny.com",,,,
"aintnobodycool","AINTNOBODYCOOL","aintnobodycool","http://aintnobodycool.myshopify.com/",,,,
"airaroma","Air Aroma","air aroma","http://www.air-aroma.com/",,,,
"aircanada","Air Canada","air canada","https://www.aircanada.com/us/en/home.html",,,,
"airholefacemasks","Airhole Facemasks","airhole facemasks","http://www.airholefacemasks.com/",,,,
"aitominaga","Ai Tominaga","ai tominaga","http://www.tominagaai.net/",,,,
"aje","Aje","aje","http://a-j-e.com.au/",,,,
"ajewelrywland","A Jewelry Wonderland","a jewelry wonderland","http://www.ajewelrywonderland.com",,,,
"ajmadison","AJ Madison","aj madison","http://www.ajmadison.com",,,,
"ajmorgan","A.J. Morgan","a.j. morgan","https://www.ajmorganeyewear.com/","A. J. Morgan","12102",,
"ajubileeevent","A Jubilee Event","a jubilee event","http://eventjubilee.com/testsite/",,,,
"akaclothing","AKA Clothing","aka clothing","http://thisisaka.com/",,,,
"akademiks","Akademiks","akademiks","http://www.akademiks.com","Akademiks","16",,
"akanewyork","Aka New York","aka new york","http://www.akanewyork.com","AKA New York","679",,
"akikoclothing","Akiko Clothing","akiko clothing","http://www.akikoonline.com",,,,
"akirachicago","AKIRA Chicago","akira chicago","http://shopakira.co",,,,
"akodesigncenter","AKO Design Center","ako design center","http://www.akostores.com",,,,
"akomplice","Akomplice","akomplice","http://www.akomplice-clothing.com/blog/",,,,
"akoo","Akoo","akoo","http://www.akooclothingbrand.com/",,,,
"akribosxxiv","Akribos XXIV","akribos xxiv","http://akribosxxiv.com/","Akribos XXIV","29615",,
"akris","Akris","akris","http://www.akris.ch","Akris","2699",,
"akrispunto","Akris Punto","akris punto","https://shop.akris.ch/us_en/akris-punto/shop-the-look",,,,
"akselparis","Aksel Paris","aksel paris","http://www.akselparis.com",,,,
"akurtz","A Kurtz","a kurtz","http://www.akurtz.com","A. Kurtz","5301",,
"al1vemagnetics","Al1ve Magnetics","al1vemagnetics.com","http://al1vemagnetics.com/",,,,
"alabamachanin","Alabama Chanin","alabama chanin","http://www.alabamachanin.com/",,,,
"alaia","Alaia","alaia","http://www.alaia.fr","Alaia","683",,
